epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5145,2.95432,6.10871,2.17007,0.00729,0.67901,0.13471,0.03427,3.20874,3.62167,1.80359,0.00065,0.00065,0.00065
2,18.3994,2.02145,2.4449,1.46926,0.32929,0.09877,0.0844,0.02853,4.28462,4.17752,2.47973,0.00130363,0.00130363,0.00130363
3,22.9246,1.73995,2.16463,1.37509,0.16183,0.41975,0.16953,0.05912,2.57309,5.7276,1.05099,0.00194406,0.00194406,0.00194406
4,28.7339,1.70683,2.04817,1.29226,0.29917,0.49383,0.34939,0.13799,2.17043,2.80468,1.05677,0.0019406,0.0019406,0.0019406
5,33.4359,1.66238,1.89127,1.30754,0.2915,0.48256,0.29037,0.11342,1.97046,2.33201,0.88055,0.0019208,0.0019208,0.0019208
6,37.9394,1.52526,1.84678,1.25059,0.40508,0.58025,0.41763,0.19097,1.87011,2.61195,0.83933,0.001901,0.001901,0.001901
7,42.6754,1.52687,1.71989,1.17811,0.27297,0.55556,0.29155,0.12246,2.08814,3.04237,0.88459,0.0018812,0.0018812,0.0018812
8,47.1152,1.49107,1.69389,1.1688,0.45596,0.54841,0.45051,0.16271,2.04383,2.53741,0.86335,0.0018614,0.0018614,0.0018614
9,51.7436,1.3824,1.67612,1.14723,0.41613,0.44877,0.36961,0.19479,1.79263,1.69457,0.8557,0.0018416,0.0018416,0.0018416
10,56.2406,1.39227,1.61569,1.11581,0.60107,0.39506,0.52882,0.23065,1.68977,1.56292,0.69962,0.0018218,0.0018218,0.0018218
11,60.9582,1.34084,1.72466,1.10663,0.56015,0.11111,0.15454,0.08636,2.51656,2.61788,1.47732,0.001802,0.001802,0.001802
12,65.5507,1.33143,1.57815,1.08058,0.42662,0.55556,0.45673,0.19969,1.74133,1.68608,0.77844,0.0017822,0.0017822,0.0017822
13,70.1365,1.32832,1.514,1.09414,0.4742,0.73487,0.56454,0.27493,1.79426,1.42486,0.79033,0.0017624,0.0017624,0.0017624
14,74.841,1.26523,1.4572,1.05188,0.54111,0.61728,0.57757,0.24373,1.83478,1.85541,0.75936,0.0017426,0.0017426,0.0017426
15,79.3268,1.24449,1.46353,1.01781,0.40393,0.60494,0.51679,0.27586,1.5422,4.04882,0.66409,0.0017228,0.0017228,0.0017228
