,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220147 (Contact 23).mp3,-764.4902170299206,50.39374684045594,-22.873013799675366,6.0703261940642825,0.22730259835183617,-8.358531763573867,3.234028659845545,-4.125946452418598,-1.8260561543111773,2.1243274172615925,-4.030545141871477,2.147250566484861,1.571912346352255
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220104 (Contact 17).mp3,-458.764800556389,150.26831430159822,-16.38705437852352,-12.738030985292703,3.1970062142566995,-4.802305728002617,-14.426607797806312,-25.745257062698684,-7.013368597535577,-2.027430587407304,-12.133217354076868,-2.0327625349800162,-3.217429849667872
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220155 (Contact 22).mp3,-418.5025008956647,105.06685760935288,-24.46495846506306,-9.88483763421106,-13.990600446791719,-33.183334360187224,-22.335481533091475,-14.479910493829586,-3.541526406610115,-6.095768154927631,-7.207111891361616,6.72426415328114,0.5099548328202042
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220090 (Contact 20).mp3,-391.25214281704814,156.32142167165375,-107.75347096920021,2.438965072547514,4.673130893567247,-21.465148136239435,-9.231906505142701,-39.68751123614039,0.8627569462101452,7.348166012057317,-18.29653376178618,11.374386414395524,-4.2366740324165555
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220098 (Contact 23).mp3,-461.7717950182497,111.61884771989516,-20.115715666408057,-21.222346279096936,-8.951911981735776,-16.837268061432614,-18.77146115507307,-16.507928037569965,-1.6344037270253593,-2.1239548766729213,-9.513988281471988,1.3802724144763199,2.4549376908712732
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220129 (Contact 15).mp3,-562.501664442965,94.75115954657198,-36.00285460681842,14.956657436154826,0.6121488609138707,-24.577836168081948,-4.87929561249403,-10.797066591593293,-2.3592235371911516,-6.334213903804566,-16.50262620873818,4.33127762499657,-4.905226868287489
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220132 (Contact 16).mp3,-437.36293234804396,160.85305054329964,-19.02380492609937,11.739982201530687,5.795459161656774,-30.832638701890566,-16.097555072047193,-4.311158758330778,-2.7938183175886317,-10.754478937590669,-11.450112462301744,3.423823088410286,-6.643117680127488
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220077 (Contact 11).mp3,-491.2829103180713,96.16104064511607,-44.89251266184854,53.346100493378614,-8.695728327403659,-3.12666012652489,9.376185867654133,-48.07165150872788,-3.8668829768522888,-9.31919020579644,-28.83483852265027,-2.8062073361074598,-21.949687352511436
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220129 (Contact 5).mp3,-551.6036485758652,88.33271067827332,-24.97524589556784,10.18959521128467,-0.8936336329638939,-19.91128322532012,-5.546973018657995,-5.543950355954689,-0.13201573018181048,-5.986318370098525,-6.660120568302946,4.750421625330566,-6.853059643093662
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220080 (Contact 9).mp3,-534.7120223467253,200.41480899698755,-87.47844181603861,20.831881053821558,-14.529843177644736,-38.147299368223536,3.5475510251556286,-21.167423069813378,0.32245809779025497,-3.537676182040281,-14.187842281592225,6.639022119590536,-10.068071069174493
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220086 (Contact 22).mp3,-400.24151540116355,143.04335993432602,-40.8369962911803,-34.91728187737632,-11.888781973210026,-9.983187753727062,-15.240895570670563,-31.23225262236581,-13.219184189415348,-5.816626826325422,-9.969718206519328,5.8350616747067825,-0.8464979579056169
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220085 (Contact 63).mp3,-429.1372481412058,131.20984148562357,-47.35345292471215,-22.615047775520303,-13.588021017098294,-23.243483860944178,-16.803696302433572,-28.727389639309248,-5.725175632146446,3.064060989975077,-14.255317692981535,5.750373387551013,11.093687078353408
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220113 (Contact 23).mp3,-414.4928791826617,155.9363493931788,-112.45405381163498,12.878830823900648,5.1920572168674894,-29.078187067584583,6.924619107250701,-29.11791717253669,-7.951016918722221,15.190920696204794,-12.063134505380246,-0.4301165639583479,-1.3235272048009086
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220086 (Contact 48).mp3,-509.3355385299291,69.06010569356822,-9.929919204802768,8.706296521037379,3.397406374536442,-14.02049340278664,-12.81613059367203,-14.461078223916642,-3.2533393978144285,-3.419554870290618,-9.328120858208807,3.9416296308131717,1.444192990938323
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220166 (Contact 67).mp3,-458.79747316804094,157.54193815412222,-0.011438601681547427,-0.7719255416674853,-34.11886090671017,-41.68540784569026,-17.410202081078566,-33.123499171031455,-11.59120910534166,5.977292061514218,-10.206022567806148,2.1730315690694373,3.110723226000169
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220161 (Contact 52).mp3,-502.9990594608359,120.94532290384919,-63.602667908785335,20.557538046899246,26.442237217724397,-23.23324480916757,-10.052911292180687,-9.187602596954877,0.7486479174366095,-0.5082660681500571,-16.90097519428096,1.8697703402307748,2.257181517202196
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220076 (Contact 18).mp3,-467.1505318406458,122.67017823512496,-41.23253183591286,-25.026808729941408,-22.596261716188636,-24.53980536661215,-7.004857624999803,-19.93969443483423,-6.70951329929473,7.267473641153055,-3.9207238934182818,2.5253042156048005,3.8246944232552944
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220166 (Contact 22).mp3,-457.85757951086026,158.22986384992734,14.070844938802098,-8.339123831845825,-22.694374085144815,-24.838022751271538,-14.250438002534002,-21.864066994098216,-10.414890893083127,-6.266713505093866,-12.15456413483578,-1.141648558657703,-5.830798181037355
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220123 (Contact 22).mp3,-416.8440010277445,83.94043889683239,-65.09836625925426,12.122146577898556,-11.769151703793801,-35.552141511505106,8.180434846651067,-14.03284174622371,-5.421244702067483,14.917467726515683,-16.416091656959544,-4.339102233858276,8.569563852550255
/n/home02/ematsumoto/cough_mp3_full/Files_8_mp3/X220106 (Contact 49).mp3,-343.4818687117733,158.08727772976243,-84.02883661974198,0.9096080125042483,-0.1463319049320419,-35.4007727014268,-14.824967541714583,-27.117990710570172,-6.729957413989989,-1.8230430205966817,-11.87880280177202,8.777986902714954,-4.761100986851974
