,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120013 (Contact 77).mp3,-637.9498789506966,92.73010520082984,-32.502634881559594,2.2508712759899385,2.22929903481127,-13.343235904271491,-5.253737784101575,-11.881534580855368,1.1689272316183292,4.00097483781806,-8.528519973771736,-0.5729303921206242,0.7495730451254272
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120022 (Contact 10).mp3,-338.7684898153024,163.5543121064849,-68.7273955098258,1.0329503554728618,-12.132019349584786,-36.99774439095956,-10.567026927419247,-22.262194846179344,2.7861681367663165,0.40307618069421,-22.783876748187655,3.285068007403071,0.013779867845537318
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120024 (Contact 49).mp3,-500.89995456725063,111.62110982347717,-37.063416475439475,-8.367553831269433,0.7562684734396738,-8.482798372327546,-12.002373883678153,-19.301540726053524,6.30411356121109,0.8897306838686051,-15.771380705730701,1.791909889133387,-2.6354684696616486
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120052 (Contact 38).mp3,-446.7279861795319,121.68121845091596,-54.21877084368733,14.31002726805872,-20.903192299246097,-31.306375084999104,3.775017618456553,-23.70666655329645,0.8517615008475891,4.275156919918803,-15.770596728158162,15.544061674875094,5.371585627614299
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120001 (Contact 5).mp3,-505.8269449941005,74.96290489026254,-29.951638692090658,-0.032737554307648346,15.226045005356276,-10.487249895549585,-18.73501253655486,-15.953996201013608,-5.076121369939574,-1.8917572305684096,-4.436149518055359,0.4139858062975075,-1.9787848884697947
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120018 (Contact 28).mp3,-359.6275033937001,129.39274859618388,-29.673997476004384,13.675926136733858,-3.841786126718445,-21.2245378644659,-0.5319865299980936,-28.947833043769723,-27.213912136282225,-11.407083700467505,-25.435066228686786,-14.437220907507784,-6.741045354252173
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120013 (Contact 11).mp3,-578.0290870434857,60.20738852363918,-20.326847747927246,-3.5626508810455615,1.1373880068786526,-5.87668983079616,-1.0587111205378643,-6.1374872748441875,-1.0822958292508378,0.9458665946266621,-5.113272899474245,1.3605440964673905,0.24435590361536627
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120022 (Contact 11).mp3,-376.46182775902986,161.49077088064513,-66.64806079571967,15.168333879273657,-17.902590772470717,-27.404403815043537,10.310832051583619,-29.908464682648955,-6.583663344975756,2.1755430364507515,-18.54418293390579,8.75566811039197,-1.2305093330880899
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120002 (Contact 44).mp3,-476.7498914631854,130.07979563431365,-1.140425062533323,-1.7802424015010974,-24.985773641117756,-34.76328027028718,-4.831135924339485,-2.920403928560722,-1.692558893269927,-0.728615730004351,-5.266194709091534,-0.3646747896172345,-9.266320792487539
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120008 (Contact 4).mp3,-478.8416814175619,121.33442403633002,-2.5320126207091467,-18.306495444028172,-23.043908211765533,-24.07610939222537,-10.493207854702439,-10.436730946472547,-4.9478769027446825,-5.203717207538946,-13.120888522267457,-7.150294383238436,-4.007892470346792
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120007 (Contact 50).mp3,-446.8927695452911,99.84910956146815,-35.59657206840368,-5.259302766351356,-0.6152712709574246,-11.24402251670286,-9.294718648967297,-20.337843532291345,-1.165049760084737,1.5897636559205552,-12.630515655147077,-0.6068013186148619,-2.5308454389627446
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120031 (Contact 47).mp3,-457.5200557299192,152.40544562806681,-60.3088437103019,53.64600326369536,-7.927564001344225,-38.11324298775425,3.264257955906288,-37.96938683675603,-2.9200236207917074,7.187838107045004,-26.800171946747877,9.523506128989501,5.6212563742508905
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120038 (Contact 8).mp3,-460.3300936633984,71.12654710948465,-24.51017663124368,6.167616267845775,-2.796392573687451,-16.651603047895797,-6.206761141067642,-14.53763468443223,-6.073883496206862,-2.853429683040874,-8.326639338342225,2.0947139984269585,-0.3082533684408746
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120054 (Contact 49).mp3,-382.23409767530353,123.41167274596265,-49.62913217640017,8.639070040518389,-17.682811282984794,-42.27826560126919,-12.297643065510124,-19.74457029489265,-0.2857675053500429,-1.3450727672739278,-15.030959245160052,8.234089531588037,-5.133229845775761
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120046 (Contact 26).mp3,-488.40402187314686,85.39384956852399,-21.69741682066671,-4.160252450698148,-2.933263294129533,-8.255485561632867,-1.7858157502746832,-15.270568883284094,-7.733806694895612,0.9141623328071606,-6.05959556624207,-1.5828998901999796,-2.574807061767295
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120009 (Contact 28).mp3,-487.09781054415913,110.39532004898038,-45.8407422270202,-1.650242927591312,-6.256178389057922,-20.611912378367006,-1.6599551258348744,-15.10927570715119,-3.4487877031099137,2.842199274873964,-9.192921207939698,5.395247701807036,2.1876872395635556
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120013 (Contact 41).mp3,-426.4717363700301,48.576688447837505,-47.65922201658478,33.69913437756074,5.728183517362641,-3.1037040418941917,12.341012698606491,-27.26838529819174,-10.384079131083514,0.059046210754081174,-19.20356942063424,-0.40737461766168076,-7.962159843177082
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120052 (Contact 2).mp3,-458.21689123845283,107.3966939747314,-59.54768740144245,-8.248487661294352,0.6833898215977835,-26.119693777520773,-15.662710858978764,-14.040628275080135,1.6003975198040004,1.8972560220639652,-8.636912711276723,5.177176919706949,-0.07817622648454045
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120006 (Contact 12).mp3,-340.4587588530431,184.66061210092886,-13.820961855821677,13.954879795501977,-23.24666227193769,-50.31831637991271,-20.307094822224485,-25.437002953187516,0.9499818693548572,5.994323430142894,-16.03143736322837,9.898425731606165,3.8009239106771515
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120046 (Contact 30).mp3,-467.71457005459706,138.05092008090938,-23.568547150425548,-10.411137463025106,-11.582085293438956,-19.404195591462617,-5.9084126165062765,-16.37284180362428,-7.326501675802765,-1.0906636535058185,-8.004273172858694,1.3002325023132275,-3.949654622491474
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120058 (Contact 4).mp3,-325.2637389007934,176.93955727997016,-61.1106206559636,-0.9899261020734955,-21.738038628206294,-45.910698036053795,-9.531480949936947,-27.592456549869482,-10.965047153234577,1.3530468350720493,-11.799593455393772,10.516266272905415,2.1763520544679444
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120023 (Contact 71).mp3,-639.4873980817449,68.16287415597918,-48.39750028109861,20.792162116346468,5.42522328536747,-22.4198819962089,-5.577001723341274,-13.02722913480479,0.03271243636331437,-3.5402035176740267,-12.020154258569926,8.247245796434532,-1.9734786996886573
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120071 (Contact 2).mp3,-425.3421935716724,100.54201465337033,-35.04407387699365,-2.1457232758725393,5.909758035416217,-8.841468876602539,-5.486658431426759,-18.114107894337902,-9.810950058974207,-5.8553983031410315,-15.362105778334593,-3.446729902482066,-0.5533707327108426
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120064 (Contact 27).mp3,-531.7565016737009,91.50734119959168,-26.798983192727913,-10.466440155407982,-4.634913992217679,1.6141025155809008,4.248809129343239,-14.89222992581876,-1.0244393623227892,0.5529132396075465,-9.427596671036873,3.4056606540906333,-2.30968048404222
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120042 (Contact 2).mp3,-513.7005700252777,96.14539671950018,-39.070788722142154,-9.653044574283289,-0.5638717244030685,-10.7603714325128,-8.667977090675544,-13.14628058205213,5.606240449363937,2.976729638417711,-10.125896582830215,2.627908152469895,-1.9074923915590254
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120065 (Contact 6).mp3,-467.31802153377197,120.45829450421334,-31.782366635900097,-7.556150257004073,-18.843597143394845,-30.523943697634554,-8.077991240231338,-14.03410218991478,-0.6467770963185286,6.091935222264341,-6.509894666070353,1.5037392309406565,-0.6559739849579281
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120043 (Contact 23).mp3,-432.5830541911105,92.09120179534051,-38.59580736175735,-7.5686314309534275,6.761343606306916,-15.96221071526476,-19.04151459416512,-16.508020902226537,-1.1425053791402078,-2.261378379424901,-13.20295641833909,0.13802756105955918,3.8832265630681557
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120057 (Contact 29).mp3,-392.2518322770048,115.93923801178015,-36.36660855886865,-6.207026981235204,-0.41867899021997595,-15.784280588600788,-11.999714170603145,-18.403417628559584,0.6331321322821218,1.7993940030131519,-12.213183707698864,2.6310116759948468,0.3371110165902809
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120031 (Contact 39).mp3,-369.0022643003413,144.62951332473057,-29.594985063053947,56.55324462310666,-20.10899813705901,-33.926401370116395,18.722656440910647,-27.09333563815448,-0.25855009141104235,8.538000634250054,-27.136893308795905,8.824490529237911,-1.3831296242708568
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120035 (Contact 48).mp3,-435.76160001885665,179.6599226842046,-69.92271710365318,5.094401603145756,3.130274291574588,-47.09784515570329,-17.351842986147116,-18.510291769867457,-11.844902928194704,-3.378421284554337,-18.826535976964042,0.4269909443438536,7.480520432533211
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120036 (Contact 62).mp3,-432.8335388776155,154.2669577952585,17.577123435354512,-8.280601786989173,-7.295911497008069,-7.986381651380501,-13.279790128398336,-28.8185596004767,-17.626291021503867,-4.4963715284887815,-10.99786435921738,-6.813475755766911,-2.5818268189246596
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120066 (Contact 25).mp3,-479.02923579170806,121.16908547314138,-24.716362506929045,7.912100275844182,-4.947812833264137,-8.332462337858267,-0.9965703572864164,-30.350030364645313,-5.839605995851723,3.5970101523404456,-15.352826106023125,1.2740509188985307,-4.1063676950620795
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120009 (Contact 51).mp3,-508.9367650011588,129.06275466148398,-44.240662371901145,-50.0821317201487,-15.68674105516846,0.4776432384047805,-1.5789641906325398,-18.607187569795244,-5.2437070173365,6.594472792248877,-2.6487469862073834,0.6720121404747136,-2.286008619474979
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120053 (Contact 61).mp3,-489.67873139277657,124.24346563350184,3.4395132364392365,13.41635989979568,1.1564481848470276,-12.813126446587987,-7.475938005214614,-24.023496257207853,-16.387318736641653,-6.355253410218361,-15.758958716767943,-7.384315964948987,-4.111599729766491
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120062 (Contact 2).mp3,-413.3877581433719,152.72404462509706,-92.847913102968,16.961324999689776,3.5959852843438336,-32.14857557405848,2.7195178362382,-25.29049803742727,-10.144661125827763,0.5878897582863081,-19.887487183545687,2.6978295424614127,-3.582137664309439
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120001 (Contact 10).mp3,-394.0390526064512,138.10316660310048,-56.641923299284095,11.919047484640448,15.92056294039237,-20.5537998327143,-22.852960449548235,-35.01232568531562,-5.098110900392529,-1.9281697360664247,-19.410740278416775,4.854239544213285,-0.42883170296831946
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120027 (Contact 32).mp3,-527.2813603593258,128.03080994703055,-26.178037082826215,4.159620007987316,-10.462659723556609,-17.77436212264717,1.3320702083530314,-21.938550289286916,-10.485355455623438,0.4298118140916499,-8.84485786371261,4.825873573315339,-2.8800480922528013
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120042 (Contact 39).mp3,-558.7502627559468,59.27465649530633,-15.319030698998978,8.245385211206987,-5.797413950464637,-12.8654169999519,-3.223238537182785,-10.536714846374782,2.392249836021817,0.3711562918479516,-8.801296872681505,3.5717473540892057,-0.6545148841501219
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120013 (Contact 9).mp3,-609.6919750167933,80.27132332115254,-29.799393095278354,5.684284432385658,2.336822787234525,-17.260016304323898,-0.5443764357906632,-2.772838399475657,-2.4965944320824915,0.9227462429419423,-3.1301227735029444,-0.3626758027462671,-3.9565921320326676
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120026 (Contact 25).mp3,-490.142388396054,127.36036943350142,-75.4425780807896,-3.10612572694418,11.087452008140298,-32.284435604201676,-21.988277278261315,-13.501364570487901,-0.6876225605708535,-8.790681820382426,-13.86781920222643,10.89021992890698,-0.9422601604664955
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120016 (Contact 47).mp3,-480.8323224871911,85.02657459594019,-36.718294584379066,7.266675727343045,-10.776455110224456,-25.62401601582003,-3.4587437561179333,-16.029797379764098,-3.6483119073674164,2.6464748930801854,-8.526802300835927,6.263964029323807,2.20813606624714
/n/home02/ematsumoto/cough_mp3_full/Files_1_mp3/X120074 (Month 20).mp3,-315.03870307790754,129.90517525351925,-37.077737615893604,24.364645127846426,-20.74943162102943,24.74854948278057,-24.833043246779376,6.273851777995054,-20.638464326244492,-4.261458946856448,-7.220975586040125,-7.630358773626477,3.2873504680637304
