,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13
/n/home02/ematsumoto/cough_mp3_full/Files_11_mp3/X320002 (Month 4).mp3,-304.47827862414516,88.44765956530452,13.372644390598381,-14.371087181591554,-20.476222871580134,-5.530841000623758,-10.048356900544375,-11.329162880541611,0.46024650571759884,1.1097737193595445,-6.931043998052594,-8.370006122628057,-10.980081080361455
/n/home02/ematsumoto/cough_mp3_full/Files_11_mp3/X320093 (Contact 7).mp3,-387.71130849985457,100.26100146476604,-30.130037266072247,37.3863488949943,7.648729069761692,-25.815983160179254,5.927458751674696,-11.17606941224982,-11.96360559838134,1.4818898723956428,-10.943819147716868,-5.73760211543574,-3.158069945031256
/n/home02/ematsumoto/cough_mp3_full/Files_11_mp3/X320006 (Contact 13).mp3,-337.7552863865404,162.63778337736497,-35.50741333627981,-6.38999497321668,-16.528921453224648,-24.55863503642448,0.45711777359771205,-26.935203271400532,-15.308112465651742,7.517140751674066,-8.995144150071248,-3.4837167664948043,-1.7959060579994475
/n/home02/ematsumoto/cough_mp3_full/Files_11_mp3/X320061 (Month 8).mp3,-261.45302210287105,116.4708185411994,-9.923989853734092,7.649815605033613,-7.778152481920267,-1.690876131976589,-11.55880173003337,-7.57435842076968,-9.173884545400071,4.4280957984421265,-5.414190866806211,3.5912876180712514,-2.269303357458326
/n/home02/ematsumoto/cough_mp3_full/Files_11_mp3/X220724 (Month 12).mp3,-222.36845249721418,74.29421421204924,15.810391699481885,-10.331690395145262,-2.473139579589664,-11.203259172758845,-12.095625124157804,4.301447715060669,0.526763474051199,3.726213771542495,-11.796498881174793,9.407074265009742,-14.685074205210755
/n/home02/ematsumoto/cough_mp3_full/Files_11_mp3/X320010 (Contact 40).mp3,-365.94076740736136,67.30355345945453,-50.08075780335022,25.459995861088572,10.51034167007596,-14.269048651626012,6.318377172531037,-16.867960301832124,-17.575611631651864,-6.440174092462319,-11.698912075202879,-2.482025230583175,-5.731740529826014
/n/home02/ematsumoto/cough_mp3_full/Files_11_mp3/X230010 (Contact 14).mp3,-554.6318817753888,80.36904607016065,-19.191853183186463,11.998059653710618,-8.826503220475335,-28.543353199537236,-5.815059226422842,-5.824282249393613,-3.50817699703302,-5.361226647290686,-5.726187928390895,3.5667933391178592,-8.144229171912942
/n/home02/ematsumoto/cough_mp3_full/Files_11_mp3/X320002 (Month 16).mp3,-388.1152744386797,56.508210826184744,-5.974976040516499,13.921460106111844,-9.220642635432299,9.8395429182625,-22.855284507502077,8.000576738059586,-7.481470518850626,-1.9508739483654571,-3.540753945897214,-8.812327745782182,-1.5670064688372027
/n/home02/ematsumoto/cough_mp3_full/Files_11_mp3/X320057 (Month 24).mp3,-281.36576657459653,138.67820000095955,-22.02485191303518,1.6043642295695928,13.955378301033607,-7.305526968786529,-23.00382258175064,-11.874514338340107,-6.0719506679071475,5.84109952397171,-4.7508171196155216,-8.474152157218889,-7.495316330134319
/n/home02/ematsumoto/cough_mp3_full/Files_11_mp3/X220764 (Contact 17).mp3,-517.6992108549681,99.49836306360827,-38.88402302486831,2.6806742973992894,-8.253076758747424,-18.07298029001582,3.6661118922600253,-13.082846244769181,-3.1829279082799196,5.7251815265952795,-6.532729945372501,1.0676496931858832,-1.1723930698693206
