,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330042 (Contact 3).mp3,-527.9125813297863,120.78224836112426,-80.11219846857139,-3.0929267105494116,6.673793916031687,-23.326284763031662,2.6731121462870133,-7.946688874008796,-2.922740913519695,10.943863724368342,-1.642834502582861,2.3242130125266187,1.132981168628168
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330060 (Contact 1).mp3,-476.7991162682342,105.73016836650844,-54.04019236144584,5.048921086765022,-0.6221222476469697,-22.127743844369153,-14.872848468247325,-28.16063740704327,2.8517295734543984,4.831798824555564,-16.86875001830358,9.076450183088843,5.177795628209933
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320132 (Month 4).mp3,-241.569686504096,58.69977917976957,-12.84791496522342,16.90833252899513,-8.033693783026465,3.7340939398865474,-23.765525510005425,-10.417643751378225,-23.427922275740233,3.3771261277232782,-10.728439974447877,2.0552010596778243,-8.998363855649284
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320117 (Month 8).mp3,-244.92906180164388,105.92657280881458,-12.97685914376495,9.410580833836232,-1.2000694374550804,-2.675524046446344,-30.682698504160747,-13.154677858189237,3.7149640585514723,-23.48258458835822,-19.905891311861616,-3.896888039739976,-7.373267120934608
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320165 (Month 12).mp3,-266.8291073621575,71.44840045625246,-24.236005996809308,29.15378183311164,-17.637742363820504,-6.776329823655779,-20.328950628425417,-7.5265436957708145,-5.579979765887746,-4.2359957288704555,0.9563820928375776,1.7045160533727293,1.854983265845766
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320154 (Month 4).mp3,-308.6435883023821,87.61862534426389,-6.507546677106028,-3.744405497706962,-31.717110705369013,-1.2069764289001566,-15.332679288855992,-5.387791393754988,-11.314476647560616,1.3486060546231218,-13.583078114368465,0.8464319323839108,-10.522791280297762
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320211 (Month 12).mp3,-375.8477776015667,120.4622169192439,-18.594907890069166,-10.22799775602455,-5.634455806565797,12.4885248593099,-0.02199378085607221,-6.750348435098175,-10.01688719367052,1.5668067879308605,-10.666939348056232,-2.0770783752553164,-8.85358948316506
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320139 (Month 12).mp3,-364.3283679472148,75.10866504083972,-17.97887394856467,0.4705602368793295,2.412025440716024,-19.693135348818057,-16.18832988048143,-16.546798516961427,-7.152934477404171,-9.284990320795572,-11.507240855465076,6.334887068930589,-4.112356188651436
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320169 (Baseline).mp3,-243.52281055778855,83.1459861273616,-36.56545834000046,17.663024173237456,-41.99109425611368,1.0385129770254953,-14.294680313130907,-5.02362569828276,-8.86532705097551,-10.091683520761109,-22.081453801802404,13.236290418884192,-9.837519837657188
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320177 (Month 4).mp3,-222.06672008295592,90.39327959780049,7.014888678762979,33.51059250454987,-2.3246388118337027,6.600075324220104,-7.368254648622971,-5.431381680026832,4.77483406420884,13.049379683287917,-14.454498836493581,0.45413650387854826,-0.8776680576056952
