epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.453,1.37367,1.29281,1.20872,0.53659,0.67901,0.62462,0.38536,1.57068,1.2451,0.86755,0.0011882,0.0011882,0.0011882
43,123.166,1.32611,1.22415,1.1966,0.61811,0.65944,0.66863,0.41602,1.4658,1.12564,0.84675,0.0011684,0.0011684,0.0011684
44,126.066,1.28347,1.20365,1.21574,0.66017,0.71605,0.68358,0.42945,1.49328,1.08962,0.8389,0.0011486,0.0011486,0.0011486
45,128.872,1.4144,1.23632,1.22417,0.65003,0.66502,0.70229,0.43699,1.47437,1.12577,0.86942,0.0011288,0.0011288,0.0011288
46,131.742,1.35455,1.24111,1.20795,0.56129,0.76543,0.67902,0.42094,1.47682,1.14171,0.72826,0.001109,0.001109,0.001109
47,134.366,1.36425,1.26727,1.20524,0.54352,0.66667,0.59822,0.3758,1.44723,1.35345,0.72179,0.0010892,0.0010892,0.0010892
48,136.792,1.27588,1.19977,1.20852,0.58261,0.81481,0.69939,0.45557,1.29252,1.18715,0.6971,0.0010694,0.0010694,0.0010694
49,139.453,1.25608,1.15526,1.17683,0.59508,0.83462,0.70873,0.48123,1.26875,1.0572,0.7095,0.0010496,0.0010496,0.0010496
50,142.482,1.24828,1.20671,1.19588,0.67878,0.64198,0.67485,0.45976,1.28593,1.35213,0.73789,0.0010298,0.0010298,0.0010298
51,145.114,1.3212,1.21846,1.18696,0.6617,0.59259,0.68939,0.47509,1.28274,1.13466,0.70318,0.00101,0.00101,0.00101
52,147.677,1.32147,1.26008,1.20537,0.61679,0.65574,0.66416,0.46441,1.28517,1.2831,0.69739,0.0009902,0.0009902,0.0009902
53,150.212,1.29309,1.20234,1.1695,0.5823,0.64198,0.65732,0.43792,1.33154,1.15168,0.70168,0.0009704,0.0009704,0.0009704
54,152.897,1.32719,1.27025,1.19051,0.62228,0.67901,0.67962,0.48177,1.24512,1.16513,0.72368,0.0009506,0.0009506,0.0009506
55,155.689,1.26543,1.17459,1.19522,0.61028,0.67901,0.70603,0.48327,1.33037,1.0479,0.68101,0.0009308,0.0009308,0.0009308
