epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9507,3.77583,6.72791,2.72594,0.00427,0.61728,0.02126,0.00458,3.38876,3.79854,1.25062,0.00065,0.00065,0.00065
2,25.1455,2.76339,3.15212,1.7267,0.00239,0.34568,0.03446,0.00641,3.96762,3.71887,2.02783,0.00130798,0.00130798,0.00130798
3,29.1774,2.52728,2.92678,1.60049,0.01553,0.01235,0.01796,0.00432,3.28699,3.59115,1.4382,0.00195715,0.00195715,0.00195715
4,33.0116,2.44484,2.95161,1.55841,0.0233,0.80247,0.08378,0.01914,3.01617,3.25276,1.30249,0.0019604,0.0019604,0.0019604
5,37.0078,2.39751,2.60477,1.51502,0.0436,0.20988,0.03853,0.0083,2.76706,4.65783,0.95304,0.0019472,0.0019472,0.0019472
6,40.9581,2.25601,2.65267,1.38393,0.09418,0.19753,0.08772,0.01842,2.6355,3.76087,0.90312,0.001934,0.001934,0.001934
7,44.804,2.16084,2.57331,1.35467,0.0904,0.11111,0.07232,0.01536,2.63772,8.51516,0.87785,0.0019208,0.0019208,0.0019208
8,48.6115,2.11343,2.45211,1.30624,0.10783,0.19753,0.08127,0.01808,2.73971,3.38049,0.95903,0.0019076,0.0019076,0.0019076
9,52.5248,2.04454,2.43624,1.28283,0.11116,0.25926,0.05574,0.01331,2.84011,2.81522,1.02715,0.0018944,0.0018944,0.0018944
10,56.3314,2.09913,2.41452,1.24798,0.14916,0.22222,0.11221,0.03221,2.56457,4.25086,0.70591,0.0018812,0.0018812,0.0018812
11,60.3902,2.01807,2.4132,1.22464,0.10446,0.28395,0.10642,0.02994,2.80716,2.96435,0.77451,0.001868,0.001868,0.001868
12,64.2736,1.9835,2.2935,1.18541,0.10085,0.2716,0.09795,0.02532,2.69543,2.53782,0.87949,0.0018548,0.0018548,0.0018548
13,68.071,1.95771,2.26772,1.17916,0.1153,0.20988,0.08709,0.01853,2.98646,2.92887,0.95863,0.0018416,0.0018416,0.0018416
14,71.8176,1.88171,2.24421,1.16396,0.16265,0.30864,0.16598,0.05341,2.58764,2.74808,0.78702,0.0018284,0.0018284,0.0018284
