epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,160.92,1.29612,1.47495,0.92707,0.52666,0.7037,0.59396,0.28397,1.70887,1.39164,0.58283,0.0014588,0.0014588,0.0014588
43,164.609,1.24741,1.45531,0.92971,0.49011,0.59259,0.48056,0.22024,1.96537,1.61169,0.61131,0.0014456,0.0014456,0.0014456
44,168.266,1.29263,1.42768,0.92296,0.62828,0.61728,0.61049,0.27605,1.83682,1.79526,0.56283,0.0014324,0.0014324,0.0014324
45,172.008,1.25528,1.37772,0.89646,0.57589,0.5679,0.63588,0.32677,1.75043,1.33376,0.63725,0.0014192,0.0014192,0.0014192
46,175.729,1.19734,1.33999,0.90366,0.64336,0.60494,0.63447,0.3561,1.65688,1.39041,0.5934,0.001406,0.001406,0.001406
47,179.598,1.17587,1.28311,0.90257,0.53823,0.67901,0.60249,0.31858,1.8164,1.39603,0.57484,0.0013928,0.0013928,0.0013928
48,183.351,1.26753,1.39917,0.88869,0.54497,0.62104,0.61535,0.33996,1.62629,1.31338,0.55596,0.0013796,0.0013796,0.0013796
49,187.068,1.17424,1.37681,0.89487,0.65117,0.62963,0.70093,0.39686,1.68717,1.48516,0.56581,0.0013664,0.0013664,0.0013664
50,191.002,1.1925,1.32936,0.89,0.48716,0.62159,0.59425,0.32259,1.66744,1.39508,0.54771,0.0013532,0.0013532,0.0013532
51,194.709,1.15455,1.28818,0.89488,0.67092,0.58025,0.60706,0.35537,1.59569,1.5333,0.56383,0.00134,0.00134,0.00134
52,198.424,1.17057,1.31239,0.90628,0.71566,0.58025,0.64321,0.33645,1.68832,1.41354,0.60497,0.0013268,0.0013268,0.0013268
53,202.126,1.19988,1.36758,0.90191,0.53356,0.59259,0.57264,0.29547,1.65691,1.81275,0.55818,0.0013136,0.0013136,0.0013136
54,205.784,1.20443,1.31637,0.89233,0.61325,0.5679,0.57635,0.34232,1.68513,1.35542,0.55342,0.0013004,0.0013004,0.0013004
55,209.551,1.13156,1.26993,0.89625,0.58232,0.5679,0.55452,0.3176,1.67901,1.48509,0.56033,0.0012872,0.0012872,0.0012872
56,213.304,1.13038,1.36626,0.89664,0.54916,0.67901,0.61954,0.33483,1.51861,1.40008,0.54237,0.001274,0.001274,0.001274
57,217.004,1.19278,1.29257,0.88358,0.57275,0.69136,0.66639,0.35386,1.64797,1.38137,0.5595,0.0012608,0.0012608,0.0012608
58,220.788,1.19808,1.32378,0.90737,0.65092,0.64198,0.64451,0.33518,1.59086,1.5985,0.57406,0.0012476,0.0012476,0.0012476
59,224.483,1.20247,1.35036,0.88389,0.64327,0.64198,0.64149,0.34017,1.59767,1.36219,0.57409,0.0012344,0.0012344,0.0012344
60,228.119,1.18427,1.29738,0.88601,0.66964,0.60063,0.70687,0.40314,1.61468,1.30945,0.56403,0.0012212,0.0012212,0.0012212
61,232.159,1.17731,1.29291,0.88378,0.59738,0.60449,0.64679,0.37226,1.59138,1.37433,0.59304,0.001208,0.001208,0.001208
62,235.909,1.14003,1.26701,0.87569,0.73989,0.49383,0.67859,0.36563,1.61001,1.32948,0.57313,0.0011948,0.0011948,0.0011948
63,239.562,1.18733,1.24572,0.88111,0.60834,0.66667,0.69337,0.38414,1.56987,1.36476,0.56282,0.0011816,0.0011816,0.0011816
64,243.374,1.14528,1.26011,0.88249,0.65765,0.7037,0.72495,0.32718,1.86141,1.24529,0.57387,0.0011684,0.0011684,0.0011684
65,247.121,1.10104,1.2347,0.87793,0.7445,0.55556,0.73124,0.35892,1.73034,1.40205,0.5526,0.0011552,0.0011552,0.0011552
66,250.817,1.13599,1.27152,0.89141,0.59605,0.5679,0.66796,0.32446,1.78211,1.52227,0.57261,0.001142,0.001142,0.001142
67,254.49,1.08935,1.21272,0.88478,0.63381,0.60494,0.6154,0.32944,1.60987,1.50154,0.5451,0.0011288,0.0011288,0.0011288
68,258.23,1.12318,1.22229,0.87088,0.61107,0.7037,0.6692,0.35005,1.56309,1.33471,0.54528,0.0011156,0.0011156,0.0011156
69,261.927,1.11547,1.30636,0.88278,0.70006,0.66277,0.71759,0.36707,1.62312,1.24913,0.56664,0.0011024,0.0011024,0.0011024
70,265.612,1.1101,1.29583,0.89289,0.56117,0.59259,0.59517,0.33033,1.51897,1.33155,0.52552,0.0010892,0.0010892,0.0010892
71,269.348,1.06952,1.23478,0.87531,0.57076,0.60494,0.61682,0.32932,1.50019,1.29214,0.53015,0.001076,0.001076,0.001076
72,273.061,1.10072,1.21395,0.86679,0.62594,0.67901,0.70181,0.4023,1.60565,1.39738,0.55248,0.0010628,0.0010628,0.0010628
73,276.822,1.11356,1.22666,0.86958,0.64952,0.70929,0.73887,0.40924,1.50832,1.23111,0.55165,0.0010496,0.0010496,0.0010496
74,280.821,1.09085,1.20868,0.88381,0.63924,0.7037,0.69514,0.38306,1.61592,1.20152,0.55612,0.0010364,0.0010364,0.0010364
75,284.582,1.13902,1.25326,0.88172,0.62555,0.59816,0.6741,0.35507,1.6834,1.33914,0.56527,0.0010232,0.0010232,0.0010232
76,288.31,1.09818,1.26689,0.87255,0.58303,0.69052,0.68954,0.36075,1.66268,1.22182,0.54748,0.00101,0.00101,0.00101
